time,step,latitude,longitude,precip,temp,ssrd,number,surface,nitrogen,site_id
2018-11-30,0 days 01:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 01:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 01:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 01:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 02:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 02:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 02:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 02:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 03:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 03:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 03:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 03:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 04:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 04:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 04:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 04:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 05:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 05:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 05:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 05:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 06:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 06:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 06:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 06:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 07:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 07:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 07:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 07:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 08:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 08:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 08:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 08:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
2018-11-30,0 days 09:00:00,51.4,11.8,,,,0,0.0,50.0,lat51.4_lon11.8
2018-11-30,0 days 09:00:00,51.4,11.9,,,,0,0.0,50.0,lat51.4_lon11.9
2018-11-30,0 days 09:00:00,51.3,11.8,,,,0,0.0,50.0,lat51.3_lon11.8
2018-11-30,0 days 09:00:00,51.3,11.9,,,,0,0.0,50.0,lat51.3_lon11.9
