species,decimalLatitude,decimalLongitude,geometry,index_right,latitude,longitude,temp,precip,nitrogen,dist_km
Bombus terrestris,51.486006,11.941464,POINT (11.941464 51.486006),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09547929268695263
Bombus terrestris,51.485939,11.941519,POINT (11.941519 51.485939),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09544285767934918
Bombus terrestris,51.411149,11.886701,POINT (11.886701 51.411149),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.017354065863654827
Bombus terrestris,51.411383,11.886992,POINT (11.886992 51.411383),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.017285275612499654
Bombus terrestris,51.41141,11.887141,POINT (11.887141 51.41141),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.017191334474088056
Bombus terrestris,51.411538,11.888412,POINT (11.888412 51.411538),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.016352589642011757
Bombus terrestris,51.485997,11.941533,POINT (11.941533 51.485997),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09550117328074967
Bombus terrestris,51.461123,11.945572,POINT (11.945572 51.461123),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.07624190654095846
Bombus terrestris,51.461636,11.9388,POINT (11.9388 51.461636),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.07283156249868608
Bombus terrestris,51.461736,11.939843,POINT (11.939843 51.461736),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.07347651560192799
Bombus terrestris,51.485983,11.941483,POINT (11.941483 51.485983),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09546682972634922
Bombus terrestris,51.455227,11.898389,POINT (11.898389 51.455227),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.055250491853016455
Bombus terrestris,51.452083,11.898211,POINT (11.898211 51.452083),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.052113716140766014
Bombus terrestris,51.413942,11.899463,POINT (11.899463 51.413942),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.013952337904451816
Bombus terrestris,51.486744,11.964488,POINT (11.964488 51.486744),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10808896187863216
Bombus terrestris,51.470768,11.979272,POINT (11.979272 51.470768),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.10626457456744501
Bombus terrestris,51.486728,11.880733,POINT (11.880733 51.486728),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.088842350672414
Bombus terrestris,51.479656,11.956225,POINT (11.956225 51.479656),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09750040492736396
Bombus terrestris,51.48645,11.879922,POINT (11.879922 51.48645),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.0887509356795739
Bombus terrestris,51.382545,11.78218,POINT (11.78218 51.382545),2,51.4,11.8,4.476254374517205,1.373574402679758,50.0,0.024944526954824214
Bombus terrestris,51.299843,11.833235,POINT (11.833235 51.299843),0,51.3,11.8,4.437247004489247,1.320091878885887,50.0,0.033235370826876026
Bombus terrestris,51.273724,11.956838,POINT (11.956838 51.273724),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.06261778038224981
Bombus terrestris,51.495219,11.930156,POINT (11.930156 51.495219),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09988013965248559
Bombus terrestris,51.472479,11.985416,POINT (11.985416 51.472479),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.11202275883498072
Bombus terrestris,51.493386,11.927492,POINT (11.927492 51.493386),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09734862638990074
Bombus terrestris,51.451667,11.941389,POINT (11.941389 51.451667),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.06620066623531894
Bombus terrestris,51.273724,11.873517,POINT (11.873517 51.273724),1,51.3,11.9,4.547798075087366,1.3516606514452016,50.0,0.03730653381111429
Bombus terrestris,51.489853,11.937229,POINT (11.937229 51.489853),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09726026963770783
Bombus terrestris,51.489349,11.93354,POINT (11.93354 51.489349),3,51.4,11.9,4.584967825995968,1.4000924039465457,50.0,0.09543676126629491
