Date	Precipitation[mm]	Temperature[degC]	Temperature_Daylight[degC]	PAR[µmolm-2s-1]	Daylength[h]	PET[mm]
2022-06-01	1.144052	13.871449	15.173319	571.300196	16.279535	nan
2022-06-02	0.017309	14.162096	15.481336	679.847931	16.309910	nan
2022-06-03	1.279680	17.479561	19.288562	660.467323	16.338911	nan
2022-06-04	1.657839	18.443533	19.552326	549.968954	16.366510	nan
2022-06-05	7.458097	18.905511	20.161041	488.279296	16.392681	nan
2022-06-06	0.926967	19.072579	20.085818	575.334094	16.417397	nan
2022-06-07	0.050753	18.443350	19.470250	515.734656	16.440634	nan
2022-06-08	1.606080	18.697178	19.803672	514.270801	16.462366	nan
2022-06-09	1.964161	17.716881	18.551326	513.995146	16.482573	nan
2022-06-10	0.321175	18.721945	19.721186	575.249649	16.501232	nan
2022-06-11	0.051346	20.497881	21.747534	485.806577	16.518324	nan
2022-06-12	0.032215	20.923706	22.262947	635.461012	16.533831	nan
2022-06-13	1.023559	16.765435	17.302601	583.252915	16.547735	nan
2022-06-14	0.092263	16.209550	17.382255	569.939140	16.560022	nan
2022-06-15	0.000435	19.899566	21.806643	749.024111	16.570679	nan
2022-06-16	0.007644	19.734431	21.048280	706.095572	16.579693	nan
2022-06-17	0.032885	20.489598	21.733946	683.379896	16.587056	nan
2022-06-18	0.001726	26.269373	28.598976	740.543005	16.592759	nan
2022-06-19	0.489483	26.367865	28.718680	645.661686	16.596796	nan
2022-06-20	18.027641	16.486314	16.634152	293.943273	16.599163	nan
2022-06-21	0.000000	16.885266	18.040206	731.931650	16.599858	nan
2022-06-22	0.000426	20.060960	21.763852	717.339703	16.598881	nan
2022-06-23	0.000858	22.660717	24.369177	761.107688	16.596234	nan
2022-06-24	3.952529	23.118799	24.340030	560.221172	16.591920	nan
2022-06-25	0.442183	22.230850	23.185167	496.726153	16.585945	nan
2022-06-26	0.002313	24.752524	26.071918	572.801631	16.578317	nan
2022-06-27	1.478141	24.302634	25.603786	591.070127	16.569045	nan
2022-06-28	0.276833	20.934160	21.496989	693.107410	16.558140	nan
2022-06-29	4.871855	20.652851	21.262726	393.631608	16.545616	nan
2022-06-30	0.081480	23.082313	24.245886	571.775682	16.531487	nan
2022-07-01	4.243047	18.544814	18.479767	299.636890	16.515770	nan
2022-07-02	0.000000	20.176540	21.649815	748.777812	16.498482	nan
2022-07-03	0.000435	23.240137	24.851295	657.495368	16.479644	nan
2022-07-04	0.006513	20.928419	21.938709	614.224661	16.459276	nan
2022-07-05	0.078430	20.067185	21.256860	536.588639	16.437401	nan
2022-07-06	0.580992	17.816335	18.460189	474.403792	16.414041	nan
2022-07-07	11.244438	15.041626	15.446308	193.000528	16.389223	nan
2022-07-08	0.093434	16.997878	17.746018	436.864416	16.362972	nan
2022-07-09	1.003855	17.496259	18.252141	319.366503	16.335315	nan
2022-07-10	0.774824	16.000148	16.634340	337.323099	16.306280	nan
2022-07-11	0.204213	17.548914	18.526600	532.531574	16.275895	nan
2022-07-12	0.001688	19.821320	21.339190	716.834425	16.244190	nan
2022-07-13	1.822050	21.766540	23.510025	338.738886	16.211194	nan
2022-07-14	0.205325	19.804672	20.531057	383.431132	16.176939	nan
2022-07-15	0.035468	17.009134	17.818862	431.446890	16.141455	nan
2022-07-16	0.912736	17.706384	19.036962	529.804424	16.104774	nan
2022-07-17	0.001723	17.987880	19.662766	727.865526	16.066927	nan
2022-07-18	0.000000	23.035140	24.837932	677.333003	16.027945	nan
2022-07-19	0.000864	26.987320	29.301111	728.576997	15.987861	nan
2022-07-20	0.000853	29.798725	31.747237	697.015818	15.946707	nan
2022-07-21	0.481451	25.829100	26.315919	498.845517	15.904515	nan
2022-07-22	0.232468	22.404611	23.555174	479.826119	15.861315	nan
2022-07-23	0.309269	20.792863	21.816807	456.065491	15.817141	nan
2022-07-24	0.000852	23.151975	24.633307	701.336729	15.772023	nan
2022-07-25	1.837560	26.768831	29.317549	600.862965	15.725992	nan
2022-07-26	0.652877	21.473100	22.381441	497.110239	15.679079	nan
2022-07-27	0.145847	18.438117	19.182960	451.033651	15.631315	nan
2022-07-28	0.001705	19.201659	20.788739	625.324697	15.582729	nan
2022-07-29	0.292926	22.368438	23.900414	603.422139	15.533351	nan
