Valid time	Local time	Precipitation[mm] (acc.)	Temperature[degC]	SSRD[Jm-2] (acc.)
2022-05-31T23:00+00:00	2022-06-01T00:00+01:00	1.960756	11.466235	23701205.048000
2022-06-01T00:00+00:00	2022-06-01T01:00+01:00	1.960756	10.372692	23701206.275200
2022-06-01T01:00+00:00	2022-06-01T02:00+01:00	0.000000	9.849334	0.000000
2022-06-01T02:00+00:00	2022-06-01T03:00+01:00	0.000000	9.548087	0.000000
2022-06-01T03:00+00:00	2022-06-01T04:00+01:00	0.000000	9.342764	0.000000
2022-06-01T04:00+00:00	2022-06-01T05:00+01:00	0.000000	9.659544	77172.259200
2022-06-01T05:00+00:00	2022-06-01T06:00+01:00	0.000000	10.830364	469902.683200
2022-06-01T06:00+00:00	2022-06-01T07:00+01:00	0.000000	12.899262	1420342.729600
2022-06-01T07:00+00:00	2022-06-01T08:00+01:00	0.188472	12.278228	2445109.079200
2022-06-01T08:00+00:00	2022-06-01T09:00+01:00	0.279604	13.841752	4108193.522400
2022-06-01T09:00+00:00	2022-06-01T10:00+01:00	0.348534	15.077029	6005996.617600
2022-06-01T10:00+00:00	2022-06-01T11:00+01:00	0.420722	16.124301	8268554.028000
2022-06-01T11:00+00:00	2022-06-01T12:00+01:00	0.456044	17.384829	10945309.503200
2022-06-01T12:00+00:00	2022-06-01T13:00+01:00	0.471799	17.958537	13364577.754400
2022-06-01T13:00+00:00	2022-06-01T14:00+01:00	0.476706	17.893594	15210766.725600
2022-06-01T14:00+00:00	2022-06-01T15:00+01:00	0.496685	18.380757	17275606.439200
2022-06-01T15:00+00:00	2022-06-01T16:00+01:00	0.511662	18.083787	18866221.196000
2022-06-01T16:00+00:00	2022-06-01T17:00+01:00	0.540600	17.846403	20196338.972800
2022-06-01T17:00+00:00	2022-06-01T18:00+01:00	0.549466	17.338201	21222333.768800
2022-06-01T18:00+00:00	2022-06-01T19:00+01:00	0.549466	16.448092	21655183.341600
2022-06-01T19:00+00:00	2022-06-01T20:00+01:00	0.885850	13.966011	21813383.542400
2022-06-01T20:00+00:00	2022-06-01T21:00+01:00	0.980079	13.078000	21816586.526400
2022-06-01T21:00+00:00	2022-06-01T22:00+01:00	1.123548	12.215268	21816586.526400
2022-06-01T22:00+00:00	2022-06-01T23:00+01:00	1.187576	12.067789	21816586.492800
2022-06-01T23:00+00:00	2022-06-02T00:00+01:00	1.188200	11.413053	21816586.492800
2022-06-02T00:00+00:00	2022-06-02T01:00+01:00	1.188368	10.413573	21816586.492800
2022-06-02T01:00+00:00	2022-06-02T02:00+01:00	0.000000	9.626010	0.000000
2022-06-02T02:00+00:00	2022-06-02T03:00+01:00	0.000000	9.013439	0.000000
2022-06-02T03:00+00:00	2022-06-02T04:00+01:00	0.000000	8.459452	0.000000
2022-06-02T04:00+00:00	2022-06-02T05:00+01:00	0.000000	8.330204	88294.817200
2022-06-02T05:00+00:00	2022-06-02T06:00+01:00	0.000000	9.420156	545257.480400
2022-06-02T06:00+00:00	2022-06-02T07:00+01:00	0.000000	10.986916	1520732.986400
2022-06-02T07:00+00:00	2022-06-02T08:00+01:00	0.024743	12.424141	3037679.448000
2022-06-02T08:00+00:00	2022-06-02T09:00+01:00	0.025612	13.807289	4908990.616000
2022-06-02T09:00+00:00	2022-06-02T10:00+01:00	0.026888	14.966354	7099709.316800
2022-06-02T10:00+00:00	2022-06-02T11:00+01:00	0.027140	16.177332	9708815.668800
2022-06-02T11:00+00:00	2022-06-02T12:00+01:00	0.027138	17.054918	12237445.751200
2022-06-02T12:00+00:00	2022-06-02T13:00+01:00	0.027138	18.262947	15082773.092800
2022-06-02T13:00+00:00	2022-06-02T14:00+01:00	0.027138	19.146731	17794843.956800
2022-06-02T14:00+00:00	2022-06-02T15:00+01:00	0.027138	19.277328	19904723.913600
2022-06-02T15:00+00:00	2022-06-02T16:00+01:00	0.027138	19.612113	22096604.500800
2022-06-02T16:00+00:00	2022-06-02T17:00+01:00	0.027138	19.474677	23820836.960000
2022-06-02T17:00+00:00	2022-06-02T18:00+01:00	0.027138	19.003061	24830119.940800
2022-06-02T18:00+00:00	2022-06-02T19:00+01:00	0.027138	17.751946	25367631.192000
2022-06-02T19:00+00:00	2022-06-02T20:00+01:00	0.027138	15.496930	25555760.129600
2022-06-02T20:00+00:00	2022-06-02T21:00+01:00	0.027138	14.252023	25560280.288000
2022-06-02T21:00+00:00	2022-06-02T22:00+01:00	0.027138	13.305028	25560280.288000
2022-06-02T22:00+00:00	2022-06-02T23:00+01:00	0.027138	12.307947	25560280.288000
2022-06-02T23:00+00:00	2022-06-03T00:00+01:00	0.027138	11.283069	25560280.288000
2022-06-03T00:00+00:00	2022-06-03T01:00+01:00	0.027138	10.341222	25560280.288000
2022-06-03T01:00+00:00	2022-06-03T02:00+01:00	0.000000	9.584099	0.000000
2022-06-03T02:00+00:00	2022-06-03T03:00+01:00	0.000000	9.041109	0.000000
2022-06-03T03:00+00:00	2022-06-03T04:00+01:00	0.000000	8.643427	0.000000
2022-06-03T04:00+00:00	2022-06-03T05:00+01:00	0.000000	8.744332	89307.826800
2022-06-03T05:00+00:00	2022-06-03T06:00+01:00	0.000000	10.850702	528868.561600
2022-06-03T06:00+00:00	2022-06-03T07:00+01:00	0.000000	13.654847	1460294.788800
2022-06-03T07:00+00:00	2022-06-03T08:00+01:00	0.000000	15.897700	2699455.959200
2022-06-03T08:00+00:00	2022-06-03T09:00+01:00	0.000000	17.465304	4222901.346400
2022-06-03T09:00+00:00	2022-06-03T10:00+01:00	0.000000	19.399838	6545678.807200
2022-06-03T10:00+00:00	2022-06-03T11:00+01:00	0.000000	20.832341	9143197.045600
2022-06-03T11:00+00:00	2022-06-03T12:00+01:00	0.000000	22.029058	11929933.140000
2022-06-03T12:00+00:00	2022-06-03T13:00+01:00	0.000000	23.103340	14928422.247200
2022-06-03T13:00+00:00	2022-06-03T14:00+01:00	0.000000	23.865887	17846999.520800
2022-06-03T14:00+00:00	2022-06-03T15:00+01:00	0.000000	24.286376	20440408.033600
2022-06-03T15:00+00:00	2022-06-03T16:00+01:00	0.000858	24.372931	22458192.545600
2022-06-03T16:00+00:00	2022-06-03T17:00+01:00	0.000858	24.127810	23808489.849600
2022-06-03T17:00+00:00	2022-06-03T18:00+01:00	0.000858	23.486419	24608135.249600
2022-06-03T18:00+00:00	2022-06-03T19:00+01:00	0.000858	22.168685	24971782.438400
2022-06-03T19:00+00:00	2022-06-03T20:00+01:00	0.150074	20.267155	25097164.262400
2022-06-03T20:00+00:00	2022-06-03T21:00+01:00	0.263564	19.083754	25098469.163200
2022-06-03T21:00+00:00	2022-06-03T22:00+01:00	0.418302	18.090824	25098469.163200
2022-06-03T22:00+00:00	2022-06-03T23:00+01:00	0.704773	17.117521	25098469.163200
2022-06-03T23:00+00:00	2022-06-04T00:00+01:00	1.155483	16.219214	25098469.163200
2022-06-04T00:00+00:00	2022-06-04T01:00+01:00	1.457343	15.651070	25098469.163200
2022-06-04T01:00+00:00	2022-06-04T02:00+01:00	0.308849	15.089106	0.000000
2022-06-04T02:00+00:00	2022-06-04T03:00+01:00	0.511702	14.573088	0.000000
2022-06-04T03:00+00:00	2022-06-04T04:00+01:00	1.069503	14.135932	0.000000
2022-06-04T04:00+00:00	2022-06-04T05:00+01:00	1.136588	13.950747	33978.215200
2022-06-04T05:00+00:00	2022-06-04T06:00+01:00	1.163957	14.090940	179716.918400
2022-06-04T06:00+00:00	2022-06-04T07:00+01:00	1.165129	14.817954	715270.681600
2022-06-04T07:00+00:00	2022-06-04T08:00+01:00	1.165129	16.276875	1824607.981600
2022-06-04T08:00+00:00	2022-06-04T09:00+01:00	1.165987	17.688708	3313981.685600
2022-06-04T09:00+00:00	2022-06-04T10:00+01:00	1.165987	19.434613	5440816.075200
2022-06-04T10:00+00:00	2022-06-04T11:00+01:00	1.165987	20.717711	7728621.695200
2022-06-04T11:00+00:00	2022-06-04T12:00+01:00	1.245958	21.477694	9905230.868800
2022-06-04T12:00+00:00	2022-06-04T13:00+01:00	1.245958	22.224475	12088742.459200
2022-06-04T13:00+00:00	2022-06-04T14:00+01:00	1.245958	22.722124	14122745.601600
2022-06-04T14:00+00:00	2022-06-04T15:00+01:00	1.245958	23.058603	16013394.148800
2022-06-04T15:00+00:00	2022-06-04T16:00+01:00	1.245958	23.150142	17753461.894400
2022-06-04T16:00+00:00	2022-06-04T17:00+01:00	1.245952	22.950461	19200076.217600
2022-06-04T17:00+00:00	2022-06-04T18:00+01:00	1.245952	22.494720	20226060.606400
2022-06-04T18:00+00:00	2022-06-04T19:00+01:00	1.245952	21.478034	20815495.774400
2022-06-04T19:00+00:00	2022-06-04T20:00+01:00	1.245952	20.096419	20994261.137600
2022-06-04T20:00+00:00	2022-06-04T21:00+01:00	1.246815	18.465491	20999903.710400
2022-06-04T21:00+00:00	2022-06-04T22:00+01:00	1.246815	17.377541	20999903.710400
2022-06-04T22:00+00:00	2022-06-04T23:00+01:00	1.246815	16.492169	20999903.710400
2022-06-04T23:00+00:00	2022-06-05T00:00+01:00	1.246806	15.610508	20999903.710400
2022-06-05T00:00+00:00	2022-06-05T01:00+01:00	1.246806	14.958301	20999903.710400
2022-06-05T01:00+00:00	2022-06-05T02:00+01:00	0.000000	14.399947	0.000000
2022-06-05T02:00+00:00	2022-06-05T03:00+01:00	0.000000	13.897793	0.000000
2022-06-05T03:00+00:00	2022-06-05T04:00+01:00	0.000000	13.292337	0.000000
2022-06-05T04:00+00:00	2022-06-05T05:00+01:00	0.000000	12.998615	89896.228000
2022-06-05T05:00+00:00	2022-06-05T06:00+01:00	0.000000	14.053059	529440.112800
2022-06-05T06:00+00:00	2022-06-05T07:00+01:00	0.000000	15.628556	1453540.047200
2022-06-05T07:00+00:00	2022-06-05T08:00+01:00	0.000000	17.615668	2672769.788800
2022-06-05T08:00+00:00	2022-06-05T09:00+01:00	0.000000	19.680744	4542785.115200
2022-06-05T09:00+00:00	2022-06-05T10:00+01:00	0.000000	21.431219	6760738.056800
2022-06-05T10:00+00:00	2022-06-05T11:00+01:00	0.000000	22.964631	9273324.158400
2022-06-05T11:00+00:00	2022-06-05T12:00+01:00	0.000000	24.141858	11817415.000800
2022-06-05T12:00+00:00	2022-06-05T13:00+01:00	0.015429	24.832122	14057180.757600
